"graph-name","optimal-colors","greedy-time","greedy-colors","dsatur-time","dsatur-colors","greedy-backtracking-time","greedy-backtracking-bkt-vertices","dsatur-backtracking-time","dsatur-backtracking-bkt-vertices","dsatur-sewell-time","dsatur-sewell-bkt-vertices","dsatur-pass-always-time","dsatur-pass-always-bkt-vertices","dsatur-pass-conditional-time","dsatur-pass-conditional-bkt-vertices","dsatur-gac-0-time","dsatur-gac-0-bkt-vertices","dsatur-gac-1-time","dsatur-gac-1-bkt-vertices","dsatur-gac-2-time","dsatur-gac-2-bkt-vertices"
"./dimacs/myciel3.col",4,0,4,0,4,76,80,0,29,2,24,1,25,1,25,15,17,5,29,2,29
"./dimacs/myciel4.col",5,0,5,0,5,8296,220476,106,906,304,614,298,755,294,755,21090,327,2397,892,216,906
"./dimacs/queen7_7.col",7,0,10,1,11,7513,119682,7188,22130,23192,11490,591,449,4790,5236,,,1416924,22052,99717,24306
"./dimacs/anna.col",11,0,12,7,11,,,213,873,1701,873,1318,870,1016,871,31097,868,32900,871,13604,868
"./dimacs/games120.col",9,0,9,86,9,,,,,,,77610,55830,,,,,,,,
"./dimacs/queen8_8.col",9,0,13,2,12,,,3269886,7161560,,,794112,633809,988191,818489,,,,,,
"./dimacs/queen9_9.col",10,0,16,80,13,,,,,,,,,,,,,,,,
"./dimacs/miles500.col",20,0,22,7,20,,,380,1171,3018,1168,1697,1159,1510,1151,185494,1166,199602,1169,78791,1166
"./dimacs/myciel7.col",8,0,8,100,8,,,,,,,,,,,,,,,,
"./dimacs/queen8_12.col",12,0,15,10,14,1536801,13395034,,,,,1807,726,,,,,,,,
"./dimacs/queen10_10.col",,0,16,85,14,,,,,,,,,,,,,,,,
"./dimacs/homer.col",13,0,15,489,13,,,,,,,,,,,,,,,,
"./dimacs/myciel5.col",6,0,6,77,6,,,121198,448650,191121,181474,299905,470021,271884,439559,,,1699102,447611,146712,448026
"./dimacs/zeroin.i.3.col",30,0,30,190,30,,,2215410,904477,,,31306,2381,29200,2377,,,,,2742210,904477
